direction,start_control,target_control,seed,horizon,relative_origin,transition_adaptive_order,transition_adaptive_window,transition_adaptive_smoothness,transition_adaptive_window_post_fraction,start_adaptive_order,start_adaptive_window,start_adaptive_smoothness,start_adaptive_window_post_fraction,target_adaptive_order,target_adaptive_window,target_adaptive_smoothness,target_adaptive_window_post_fraction,abs_smoothness_gap_to_target,order_match_target,window_match_target,discrete_config_match_target
low_to_high_noise,stable_low_noise,stable_high_noise,0,6,81,3,72,0.9999786308036231,1.0,3,72,0.9987139745715006,1.0,3,72,0.9993376194240632,1.0,0.0006410113795599637,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,6,84,3,72,0.9999771631617024,1.0,3,72,0.9989572493870328,1.0,3,72,0.9999129906934954,1.0,6.417246820700218e-05,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,6,87,3,72,0.9999849842516323,1.0,3,72,0.9999415834430163,1.0,3,72,0.9999747112357518,1.0,1.0273015880524206e-05,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,6,90,3,72,0.9999937476064478,1.0,1,48,0.29290055316563357,1.0,3,72,0.9999879056151731,1.0,5.84199127462437e-06,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,6,93,2,48,0.9924996701760357,1.0,1,48,0.28764877921661786,1.0,2,48,0.9912986033241431,1.0,0.0012010668518925849,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,6,96,2,48,0.9944837765861434,1.0,1,48,0.309939774835,1.0,2,48,0.9935201230504876,1.0,0.0009636535356557507,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,6,99,1,24,0.9078874245997265,1.0,1,24,0.39176754869090213,1.0,1,24,0.9078874245997265,1.0,0.0,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,6,102,1,24,0.9201974998661229,1.0,1,24,0.4911430094021489,1.0,1,24,0.9201974998661229,1.0,0.0,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,6,105,2,48,0.994997504884089,1.0,1,48,0.27979367743987693,1.0,2,48,0.9956780667423882,1.0,0.0006805618582992334,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,6,108,1,24,0.8981985593594065,1.0,1,24,0.5482710478395361,1.0,3,72,0.9999987523564559,1.0,0.10180019299704934,0.0,0.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,6,111,1,48,0.8888795025121226,1.0,1,24,0.6521116398778709,1.0,1,48,0.8888795025121226,1.0,0.0,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,6,114,1,48,0.9090792706060138,1.0,1,72,0.6594080966458864,1.0,1,48,0.9090792706060138,1.0,0.0,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,12,0,2,48,0.9694394451119939,0.0,2,48,0.9694394451119939,0.0,2,72,0.9827347210600239,0.0,0.013295275948030039,1.0,0.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,12,3,2,48,0.9749102351022967,0.0625,2,48,0.9719545880133905,0.0625,2,72,0.9795900882721407,0.041666666666666664,0.004679853169843984,1.0,0.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,12,6,2,72,0.9792735469367151,0.08333333333333333,2,72,0.9739081895500445,0.08333333333333333,2,72,0.9834583235521019,0.08333333333333333,0.004184776615386854,1.0,1.0,1.0
