seed,transition,pre_observation_noise_std,post_observation_noise_std,fixed_ar1_phi,slope_noise_std,horizon,regime_point,outer_origin,relative_origin,period,adaptive_order,adaptive_window,adaptive_lambda,adaptive_smoothness,adaptive_window_post_fraction,frozen_order,frozen_window,frozen_lambda,frozen_smoothness,frozen_window_post_fraction,adaptive_order_differs,adaptive_window_differs,adaptive_smoothness_minus_frozen,adaptive_mse,frozen_mse,benchmark_mse,adaptive_rmse,frozen_rmse,benchmark_rmse,adaptive_mse_advantage_vs_frozen,adaptive_relative_rmsfe_vs_no_change,frozen_relative_rmsfe_vs_no_change
0,stable_low_noise,0.25,0.25,0.0,0.01,3,180,231,51,mid,2,72,7215.370370656224,0.9747880921227269,0.7083333333333334,2,48,3274.7142065241305,0.9728811394254971,1.0,0.0,1.0,0.0019069526972297357,0.012744910402354976,0.01447936010595074,0.05483377081189624,0.11289335853961904,0.12033021277281421,0.23416611798442627,0.001734449703595764,0.4821079988486091,0.5138668813769933
0,stable_low_noise,0.25,0.25,0.0,0.01,3,180,234,54,mid,3,72,26489122129.84347,0.9999987523564559,0.75,2,48,3274.7142065241305,0.9728811394254971,1.0,1.0,1.0,0.027117612930958712,0.13290641331329447,0.058939227228288156,0.18072426458039312,0.36456331866123676,0.2427740250279839,0.4251167658189843,-0.07396718608500633,0.8575604350934225,0.5710761008455678
0,stable_low_noise,0.25,0.25,0.0,0.01,3,180,237,57,mid,2,72,5271.367932432778,0.9715576835990185,0.7916666666666666,2,48,3274.7142065241305,0.9728811394254971,1.0,0.0,1.0,-0.0013234558264786367,0.23093446343618637,0.2530200612961902,0.06270423724955451,0.4805564102539746,0.5030109952040712,0.2504081413404015,0.02208559786000383,1.919092596916458,2.008764541406362
0,stable_low_noise,0.25,0.25,0.0,0.01,3,180,240,60,mid,3,72,26489122129.84347,0.9999987523564559,0.8333333333333334,2,48,3274.7142065241305,0.9728811394254971,1.0,1.0,1.0,0.027117612930958712,0.10837706510653211,0.18833156346378313,0.044756136248651435,0.32920672093159353,0.4339718463953429,0.2115564611366229,0.07995449835725102,1.5561175449942521,2.0513287283392607
0,stable_low_noise,0.25,0.25,0.0,0.01,3,180,243,63,mid,3,72,26489122129.84347,0.9999987523564559,0.875,2,48,3274.7142065241305,0.9728811394254971,1.0,1.0,1.0,0.027117612930958712,0.015234387081864505,0.016446657344422896,0.021566600239203815,0.12342765930643142,0.12824452169361036,0.14685571231383482,0.0012122702625583914,0.8404689021742853,0.8732688682858192
0,stable_low_noise,0.25,0.25,0.0,0.01,3,180,246,66,mid,3,72,26489122129.84347,0.9999987523564559,0.9166666666666666,2,48,3274.7142065241305,0.9728811394254971,1.0,1.0,1.0,0.027117612930958712,0.20458786088613165,0.17192445384941335,0.10958460955477674,0.4523138964105919,0.4146377380912323,0.3310356620589038,-0.0326634070367183,1.3663600277909276,1.2525470383231778
0,stable_low_noise,0.25,0.25,0.0,0.01,3,180,249,69,mid,2,24,534.3875490661878,0.9649734924022825,1.0,2,48,3274.7142065241305,0.9728811394254971,1.0,0.0,1.0,-0.00790764702321467,0.03808682731019856,0.007534972336223813,0.027035689374632868,0.1951584671752639,0.08680421842412851,0.1644253306964376,-0.030551854973974744,1.1869124200550696,0.527924852311148
0,stable_low_noise,0.25,0.25,0.0,0.01,3,180,252,72,late,3,72,27999973.225545987,0.9987890433599936,1.0,2,48,3274.7142065241305,0.9728811394254971,1.0,1.0,1.0,0.02590790393449649,0.05340177009227245,0.026850354015700687,0.03811675535537254,0.2310882301032929,0.16386077631849755,0.19523512838465454,-0.02655141607657176,1.183640628688502,0.8392996571583016
0,stable_low_noise,0.25,0.25,0.0,0.01,3,180,255,75,late,2,24,580.000662843343,0.9666015237170139,1.0,2,48,3274.7142065241305,0.9728811394254971,1.0,0.0,1.0,-0.006279615708483233,0.044803711574285594,0.05835015749891268,0.058570973113922266,0.21166887247369556,0.24155777259055997,0.24201440683133363,0.013546445924627087,0.8746126945294348,0.9981131939757127
0,stable_low_noise,0.25,0.25,0.0,0.01,3,180,258,78,late,2,24,680.4597553588026,0.9696589498663778,1.0,2,48,3274.7142065241305,0.9728811394254971,1.0,0.0,1.0,-0.0032221895591193483,0.08880478585331164,0.09086160922140164,0.08926325026249649,0.29800131854290784,0.3014325948224605,0.29876956046842607,0.002056823368090002,0.9974286472681028,1.008913338928702
