direction,matched_control,horizon,seed,mean_excess_adaptive_mse_advantage,transition_adaptive_mse_advantage,control_adaptive_mse_advantage
high_to_low_noise,stable_high_noise,12,29,0.030046947372627378,-0.01245378441798094,-0.04250073179060831
low_to_high_noise,stable_low_noise,1,0,-0.12417383480216504,-0.11050244907064337,0.013671385731521662
low_to_high_noise,stable_low_noise,1,1,-0.1042348255633658,-0.11752860824400202,-0.013293782680636195
low_to_high_noise,stable_low_noise,1,2,-0.027427149132082405,0.07493870414677743,0.10236585327885987
low_to_high_noise,stable_low_noise,1,3,-0.11534558428174065,-0.08803275328610898,0.027312830995631664
low_to_high_noise,stable_low_noise,1,4,-0.029624665488645462,-0.031544114293620806,-0.001919448804975355
low_to_high_noise,stable_low_noise,1,5,0.011033582954545961,0.003100702482885778,-0.0079328804716602
low_to_high_noise,stable_low_noise,1,6,-0.04468185375579572,0.32950624406789947,0.3741880978236952
low_to_high_noise,stable_low_noise,1,7,0.01818025450407713,0.022258852312664286,0.004078597808587164
low_to_high_noise,stable_low_noise,1,8,-0.010716470491913339,-0.006700693580176009,0.004015776911737323
low_to_high_noise,stable_low_noise,1,9,-0.03925598015202198,-0.03657839990726663,0.0026775802447553615
low_to_high_noise,stable_low_noise,1,10,-0.1024367066054626,-0.10812169992037404,-0.005684993314911418
low_to_high_noise,stable_low_noise,1,11,-0.09854103956175778,-0.07991865592694714,0.018622383634810648
low_to_high_noise,stable_low_noise,1,12,0.007270412631583645,0.022797805147076283,0.015527392515492646
low_to_high_noise,stable_low_noise,1,13,-0.18726527154839548,-0.25271376462222866,-0.06544849307383316
low_to_high_noise,stable_low_noise,1,14,-0.023125512738075095,-0.01545773282279092,0.00766777991528417
low_to_high_noise,stable_low_noise,1,15,-0.06251729673074083,-0.07847372871909206,-0.01595643198835122
low_to_high_noise,stable_low_noise,1,16,-0.05929751525040128,-0.07271846848187961,-0.013420953231478346
low_to_high_noise,stable_low_noise,1,17,-0.12948027742070173,-0.1274668443315255,0.0020134330891762434
low_to_high_noise,stable_low_noise,1,18,-0.0335325511689664,-0.050854554374764716,-0.017322003205798336
low_to_high_noise,stable_low_noise,1,19,-0.09934264566699666,-0.09173286935485496,0.007609776312141632
low_to_high_noise,stable_low_noise,1,20,0.006037664721233732,-0.00037577570736885697,-0.006413440428602588
low_to_high_noise,stable_low_noise,1,21,0.0347632585889283,0.3582537216543725,0.3234904630654444
low_to_high_noise,stable_low_noise,1,22,0.1525100986515985,0.177355496247757,0.024845397596158513
low_to_high_noise,stable_low_noise,1,23,0.07057390237227208,0.05732151114054781,-0.013252391231724276
low_to_high_noise,stable_low_noise,1,24,-0.07523554219617794,-0.07134481236582514,0.0038907298303528176
low_to_high_noise,stable_low_noise,1,25,0.09563677128627297,0.14125621784675996,0.04561944656048698
low_to_high_noise,stable_low_noise,1,26,-0.14239277815812454,-0.1547551642059986,-0.012362386047874041
low_to_high_noise,stable_low_noise,1,27,-0.08628783601513572,-0.06435763483991629,0.021930201175219443
low_to_high_noise,stable_low_noise,1,28,0.043266536972018585,0.04338576475519228,0.00011922778317370875
low_to_high_noise,stable_low_noise,1,29,-0.05832379133874216,-0.06683681922057746,-0.008513027881835309
low_to_high_noise,stable_low_noise,3,0,-0.04088105975215493,-0.04132980280827279,-0.00044874305611784934
low_to_high_noise,stable_low_noise,3,1,0.03294502745914194,0.024933548960485403,-0.00801147849865652
low_to_high_noise,stable_low_noise,3,2,-0.051611811975956344,0.2127733551521008,0.26438516712805715
low_to_high_noise,stable_low_noise,3,3,-0.04275066438296821,-0.035564251405434184,0.00718641297753404
