transition,horizon,period,n_blocks,adaptive_mse,frozen_local_mse,frozen_all_pre_mse,benchmark_mse,adaptive_rmse_vs_frozen_local,adaptive_rmse_vs_frozen_all_pre,adaptive_relative_rmsfe_vs_no_change,frozen_local_relative_rmsfe_vs_no_change,frozen_all_pre_relative_rmsfe_vs_no_change,mean_adaptive_advantage_vs_frozen_local,mean_adaptive_advantage_vs_frozen_all_pre
stable_high_roughness,12,early,360,1.0528802942475792,1.0711279398920612,0.6802590411870356,5.607262821445983,0.9914454518364142,1.2440915417453855,0.4333252960630946,0.43706418266427444,0.34830660085926257,0.01824764564448191,-0.37262125306054356
stable_high_roughness,12,late,390,0.8320347945445744,3.0936088290535397,0.9621805369512609,9.882748246269475,0.5186066064369432,0.9299133022691246,0.290156215422545,0.5594919382459211,0.3120250185845512,2.261574034508966,0.1301457424066867
stable_high_roughness,12,mid,360,0.7810873138645403,0.9953509584120888,0.7550551327156787,7.2871479715242495,0.8858530251807031,1.0170925191382059,0.32739421252034134,0.3695807354200286,0.32189226285701733,0.21426364454754845,-0.02603218114886169
stable_low_roughness,1,all_post,1200,0.3110600352078699,0.33189875833045196,0.3034613556238482,0.4865934726382445,0.9680979368319149,1.0124426027461646,0.7995377413621172,0.8258851826278978,0.7897116727342754,0.020838723122582052,-0.007598679584021667
stable_low_roughness,1,early,360,0.2946205128948225,0.29237878165992554,0.28569426340202625,0.48362362200886855,1.0038262876964077,1.0155018772750344,0.7805086813888739,0.7775336140877463,0.7685940310452858,-0.0022417312348970244,-0.00892624949279631
stable_low_roughness,1,late,480,0.29808027310578517,0.3445272141473456,0.3066763540828852,0.48709998791324394,0.9301539860260442,0.9858854835155235,0.782271590373211,0.8410129958323993,0.7934710505968147,0.04644694104156044,0.00859608097709997
stable_low_roughness,1,mid,360,0.3448059069903635,0.3545807939117868,0.31694178323362104,0.4888879695676209,0.9861199490467656,1.0430319216816708,0.8398131554066838,0.8516338770131264,0.8051653434083405,0.009774886921423273,-0.027864123756742524
stable_low_roughness,3,all_post,1200,0.29483518458403246,0.33472344078171856,0.3043668247764032,0.5176442778974281,0.9385266109961878,0.9842173075851315,0.7546992977958026,0.8041320181584793,0.766801489853422,0.039888256197686045,0.009531640192370598
stable_low_roughness,3,early,360,0.2804200092700306,0.2876688991392341,0.2835031493011533,0.5054698409953433,0.9873202487788095,0.9945475591090829,0.7448295108412389,0.7543950524285296,0.7489129142385692,0.007248889869203505,0.003083140031122709
stable_low_roughness,3,late,480,0.29628941321555763,0.35794480012820085,0.3166636278878496,0.5419108858660192,0.9098086007242097,0.9672950725093495,0.7394249988893391,0.8127258835547995,0.7644254787436561,0.06165538691264317,0.020374214672291894
stable_low_roughness,3,mid,360,0.30731138838933425,0.35081616996222675,0.3088347627697244,0.49746323750805793,0.9359432702941317,0.9975306251422417,0.7859751791641669,0.8397679689679959,0.7879208511037862,0.04350478157289243,0.001523374380390095
stable_low_roughness,6,all_post,1170,0.31236610668335596,0.3468017064478231,0.31920315484408024,0.5983092977360734,0.9490549079030216,0.9892324741364256,0.7225519482472178,0.7613384033213927,0.7304167292708289,0.034435599764467154,0.006837048160724272
stable_low_roughness,6,early,360,0.30280582798195343,0.3031302728714675,0.29368421952348406,0.5576153263880199,0.9994646992075528,1.0154108721691224,0.7369105323464943,0.7373052124109732,0.7257264547230075,0.0003244448895140402,-0.009121608458469387
