seed,transition,pre_slope_noise_std,post_slope_noise_std,horizon,outer_origin,relative_origin,period,adaptive_order,adaptive_window,adaptive_lambda,adaptive_smoothness,frozen_local_order,frozen_local_window,frozen_local_lambda,frozen_local_smoothness,frozen_local_n_origins,frozen_all_pre_order,frozen_all_pre_window,frozen_all_pre_lambda,frozen_all_pre_smoothness,frozen_all_pre_n_origins,adaptive_mse,frozen_local_mse,frozen_all_pre_mse,benchmark_mse,adaptive_rmse,frozen_local_rmse,frozen_all_pre_rmse,benchmark_rmse,adaptive_advantage_vs_frozen_local,adaptive_advantage_vs_frozen_all_pre
0,stable_low_roughness,0.005,0.005,1,210,30,early,2,72,140709.26318964694,0.9950445160032504,2,72,37411.48494267334,0.9881083068362535,20,2,72,45070.394614133744,0.9892938851778172,36,0.27082967601486024,0.3006455096322165,0.29648889662927436,0.4757202275643564,0.5204129860167406,0.5483115078422269,0.5445079399138955,0.6897247476815345,0.029815833617356235,0.025659220614414113
0,stable_low_roughness,0.005,0.005,1,213,33,early,2,72,185467.83236444465,0.9960201696072474,2,72,37411.48494267334,0.9881083068362535,20,2,72,45070.394614133744,0.9892938851778172,36,0.15542930994177356,0.16761762770496327,0.16716081684082815,0.09616748812670779,0.3942452408612862,0.40941131848663304,0.40885305042377773,0.3101088327131425,0.01218831776318971,0.011731506899054583
0,stable_low_roughness,0.005,0.005,1,216,36,mid,2,72,223075.89836368192,0.9965833358326119,2,72,37411.48494267334,0.9881083068362535,20,2,72,45070.394614133744,0.9892938851778172,36,0.3890505099444115,0.4013000801755135,0.4014788514651208,1.1985125460268697,0.6237391361333771,0.6334825018700307,0.6336235881539771,1.0947659777444994,0.012249570231102014,0.012428341520709318
0,stable_low_roughness,0.005,0.005,1,219,39,mid,3,48,2300371998.8947268,0.9999973612651021,2,72,37411.48494267334,0.9881083068362535,20,2,72,45070.394614133744,0.9892938851778172,36,1.1962253087908634,1.2802882604652865,1.2760040097849175,3.1169627211580093,1.0937208550589421,1.1314982370579667,1.1296034745807564,1.7654922036525704,0.08406295167442313,0.07977870099405404
0,stable_low_roughness,0.005,0.005,1,222,42,mid,3,48,26489122129.84347,0.9999939036535136,2,72,37411.48494267334,0.9881083068362535,20,2,72,45070.394614133744,0.9892938851778172,36,0.2617544166698319,0.2725705781950554,0.2765326843477318,0.26627815709848346,0.5116194060723576,0.5220829227192318,0.5258637507451258,0.5160214696100187,0.010816161525223522,0.014778267677899914
0,stable_low_roughness,0.005,0.005,1,225,45,mid,2,72,26489122129.84347,1.00000035924574,2,72,37411.48494267334,0.9881083068362535,20,2,72,45070.394614133744,0.9892938851778172,36,0.05365865440449285,0.11045099450977007,0.10432515615189353,0.2721749637819651,0.23164337764005438,0.33234168337686754,0.32299404971592516,0.5217039043192653,0.05679234010527722,0.05066650174740068
0,stable_low_roughness,0.005,0.005,1,228,48,mid,2,72,26489122129.84347,1.00000035924574,2,72,37411.48494267334,0.9881083068362535,20,2,72,45070.394614133744,0.9892938851778172,36,0.0010221477275087663,0.0015286155878389167,0.001139211362309784,0.5240317356196543,0.03197104514257809,0.039097513831942265,0.033752205295503046,0.7239003630470524,0.0005064678603301505,0.00011706363480101767
0,stable_low_roughness,0.005,0.005,1,231,51,mid,2,72,26489122129.84347,1.00000035924574,2,72,37411.48494267334,0.9881083068362535,20,2,72,45070.394614133744,0.9892938851778172,36,0.01103155769434715,0.022510556774313597,0.021795121673854563,0.1428194606918022,0.1050312224738299,0.1500351851210695,0.14763170958115523,0.3779146209023967,0.011478999079966447,0.010763563979507413
0,stable_low_roughness,0.005,0.005,1,234,54,mid,2,72,26489122129.84347,1.00000035924574,2,72,37411.48494267334,0.9881083068362535,20,2,72,45070.394614133744,0.9892938851778172,36,0.469810665950736,0.5460541158513488,0.5415681668592686,1.2382067594805215,0.6854273600832812,0.7389547454691314,0.735913151709676,1.1127473924842608,0.07624344990061277,0.07175750090853256
0,stable_low_roughness,0.005,0.005,1,237,57,mid,2,72,26489122129.84347,1.00000035924574,2,72,37411.48494267334,0.9881083068362535,20,2,72,45070.394614133744,0.9892938851778172,36,1.1264461799838974,1.1173068949952865,1.1153828644632537,0.4458782804340827,1.061341688611117,1.0570273861141377,1.0561168801147218,0.667741177728379,-0.00913928498861094,-0.011063315520643657
0,stable_low_roughness,0.005,0.005,1,240,60,mid,2,72,26489122129.84347,1.00000035924574,2,72,37411.48494267334,0.9881083068362535,20,2,72,45070.394614133744,0.9892938851778172,36,1.324026513414209,1.103951356387589,1.1210663268909689,0.08585635453426316,1.1506635100733007,1.0506908947866584,1.0588041966723445,0.29301255013098526,-0.22007515702662017,-0.20296018652324022
0,stable_low_roughness,0.005,0.005,1,243,63,mid,3,48,26489122129.84347,0.9999939036535136,2,72,37411.48494267334,0.9881083068362535,20,2,72,45070.394614133744,0.9892938851778172,36,0.44459583864081925,0.2398246327177865,0.2271856147946271,0.25263146919381474,0.6667802026461338,0.48971893236609354,0.47663992152842916,0.5026245807695986,-0.20477120592303275,-0.21741022384619216
0,stable_low_roughness,0.005,0.005,1,246,66,mid,2,72,26489122129.84347,1.00000035924574,2,72,37411.48494267334,0.9881083068362535,20,2,72,45070.394614133744,0.9892938851778172,36,0.9223794623980441,0.7912185986797328,0.8033513840862619,1.0129959915722893,0.9604058841958665,0.8895046928935972,0.8962987136475551,1.0064770198927988,-0.13116086371831137,-0.11902807831178219
0,stable_low_roughness,0.005,0.005,1,249,69,mid,2,72,26489122129.84347,1.00000035924574,2,72,37411.48494267334,0.9881083068362535,20,2,72,45070.394614133744,0.9892938851778172,36,0.005807834825004812,0.05881408314501356,0.05214637566966866,0.15032778968269547,0.07620915184546284,0.24251615027666418,0.228355809362645,0.3877212783465662,0.05300624832000875,0.04633854084466385
