direction,matched_control,horizon,seed,mean_excess_advantage_vs_frozen_local,mean_excess_advantage_vs_frozen_all_pre
low_to_high_roughness,stable_low_roughness,6,7,0.3752673451242595,0.18829256946476836
low_to_high_roughness,stable_low_roughness,6,8,0.38700369979982074,0.21970687668510058
low_to_high_roughness,stable_low_roughness,6,9,0.37289814925033976,0.04442391588519932
low_to_high_roughness,stable_low_roughness,6,10,-0.005572924622793139,0.03992897107374412
low_to_high_roughness,stable_low_roughness,6,11,0.23562911441265072,0.1720261553655815
low_to_high_roughness,stable_low_roughness,6,12,0.16072444408161538,0.16072406307018966
low_to_high_roughness,stable_low_roughness,6,13,0.311714931033065,0.1745955177112812
low_to_high_roughness,stable_low_roughness,6,14,2.1745069180145036,0.003967912474037705
low_to_high_roughness,stable_low_roughness,6,15,0.03471773405608607,0.27250744622383255
low_to_high_roughness,stable_low_roughness,6,16,0.46962352983837774,0.46962352983837774
low_to_high_roughness,stable_low_roughness,6,17,0.22914605519269238,0.17627939342144786
low_to_high_roughness,stable_low_roughness,6,18,0.5180132713713876,0.44715176057021294
low_to_high_roughness,stable_low_roughness,6,19,0.005987284358141078,-0.012066334154641764
low_to_high_roughness,stable_low_roughness,6,20,0.019442188238780106,0.005333422316973541
low_to_high_roughness,stable_low_roughness,6,21,5.822075641798215,3.082249190332558
low_to_high_roughness,stable_low_roughness,6,22,-0.08607949773780761,-0.08166201012173738
low_to_high_roughness,stable_low_roughness,6,23,-0.009073415313983474,-0.09122745062856821
low_to_high_roughness,stable_low_roughness,6,24,2.1439788759831773,0.19300048071299658
low_to_high_roughness,stable_low_roughness,6,25,-0.036003606965868386,-0.023703873430106787
low_to_high_roughness,stable_low_roughness,6,26,0.08025902705333791,0.14226342220658258
low_to_high_roughness,stable_low_roughness,6,27,0.24301749382164667,0.24301749382164667
low_to_high_roughness,stable_low_roughness,6,28,-0.0651578112108345,-0.028344383909078157
low_to_high_roughness,stable_low_roughness,6,29,0.11731932416718344,0.03273719821811493
low_to_high_roughness,stable_low_roughness,12,0,0.16087749719235372,-0.07145445112439527
low_to_high_roughness,stable_low_roughness,12,1,-0.521961787897989,-0.4703195299836046
low_to_high_roughness,stable_low_roughness,12,2,2.2349183143154208,2.234305785232727
low_to_high_roughness,stable_low_roughness,12,3,1.1591447329091005,1.2930295827055458
low_to_high_roughness,stable_low_roughness,12,4,0.16818854203212616,0.07087436091805129
low_to_high_roughness,stable_low_roughness,12,5,-0.11299257847527375,-0.15835452854214482
low_to_high_roughness,stable_low_roughness,12,6,5.030097859357416,-0.2471979463451581
low_to_high_roughness,stable_low_roughness,12,7,0.6863666943457537,0.1675786057130416
low_to_high_roughness,stable_low_roughness,12,8,0.4317194390093493,0.3299807776821729
low_to_high_roughness,stable_low_roughness,12,9,0.6041884208269976,-0.022538757257432585
low_to_high_roughness,stable_low_roughness,12,10,-0.014034850590066976,0.024438532277513195
low_to_high_roughness,stable_low_roughness,12,11,0.4175383031034943,0.26384486494121123
low_to_high_roughness,stable_low_roughness,12,12,0.20578422722421835,0.20578422722421835
low_to_high_roughness,stable_low_roughness,12,13,0.4162189339679714,0.36422372583920404
low_to_high_roughness,stable_low_roughness,12,14,2.693291284947654,4.365208624831875
low_to_high_roughness,stable_low_roughness,12,15,-0.08512371266501015,0.2360855349738749
low_to_high_roughness,stable_low_roughness,12,16,0.45554361548194555,0.4554750688967958
low_to_high_roughness,stable_low_roughness,12,17,0.6877985960352551,0.05406565605793172
low_to_high_roughness,stable_low_roughness,12,18,0.8311337134494582,0.7306125207372572
low_to_high_roughness,stable_low_roughness,12,19,-0.07301510068122188,-0.0911153464830378
low_to_high_roughness,stable_low_roughness,12,20,-0.08896917590296244,-0.09221056862766504
low_to_high_roughness,stable_low_roughness,12,21,6.465507008986444,6.113775736060219
low_to_high_roughness,stable_low_roughness,12,22,0.21232244009357387,-0.03955594451475839
low_to_high_roughness,stable_low_roughness,12,23,-0.19570516398865784,-0.24783652182667887
low_to_high_roughness,stable_low_roughness,12,24,2.050117057752419,0.1735189053379238
low_to_high_roughness,stable_low_roughness,12,25,-0.13196289616351378,-0.1126919744688234
low_to_high_roughness,stable_low_roughness,12,26,0.09417825612913748,0.012619290981765393
low_to_high_roughness,stable_low_roughness,12,27,0.7606608149125063,0.60400035864712
low_to_high_roughness,stable_low_roughness,12,28,-0.21992607175406828,-0.21162250362038265
low_to_high_roughness,stable_low_roughness,12,29,0.04438704878353047,-0.041215474815191146
