direction,matched_control,seed,horizon,relative_origin,period,transition_advantage_vs_frozen_local,transition_advantage_vs_frozen_all_pre,control_advantage_vs_frozen_local,control_advantage_vs_frozen_all_pre,excess_advantage_vs_frozen_local,excess_advantage_vs_frozen_all_pre
high_to_low_roughness,stable_high_roughness,16,1,48,mid,0.09824905967144798,0.005025420128840805,-0.009146328576645574,-0.11961416310525869,0.10739538824809355,0.12463958323409949
high_to_low_roughness,stable_high_roughness,16,1,51,mid,-0.08297207258167733,-0.0068737070993602906,0.004696584511813009,0.18904546116548193,-0.08766865709349034,-0.19591916826484224
high_to_low_roughness,stable_high_roughness,16,1,54,mid,0.05517703299192182,-0.1009488108654031,-0.0014727461408158143,-0.07973984664055203,0.05664977913273764,-0.021208964224851065
high_to_low_roughness,stable_high_roughness,16,1,57,mid,-0.03136545608461255,0.25157585963821066,-0.009787336647019584,0.49211823311426495,-0.02157811943759297,-0.24054237347605428
high_to_low_roughness,stable_high_roughness,16,1,60,mid,0.019780764986909193,-0.00995205044267651,-0.015328069208268388,-0.04659309792909255,0.03510883419517758,0.03664104748641604
high_to_low_roughness,stable_high_roughness,16,1,63,mid,0.4884729303894404,0.29225897655382416,-0.03846000187179299,-0.3888649732676397,0.5269329322612334,0.6811239498214638
high_to_low_roughness,stable_high_roughness,16,1,66,mid,0.08597054175378877,0.03066367594588562,0.005336000491703338,-0.07814361804396708,0.08063454126208543,0.1088072939898527
high_to_low_roughness,stable_high_roughness,16,1,69,mid,-0.36271841848898956,0.037967143250675406,-0.018540639432141737,0.6673611601044886,-0.3441777790568478,-0.6293940168538132
high_to_low_roughness,stable_high_roughness,16,1,72,late,0.7790810018921888,-0.6140532228747548,0.02691943804660557,-1.6898720126670743,0.7521615638455832,1.0758187897923195
high_to_low_roughness,stable_high_roughness,16,1,75,late,0.14969951548638055,0.10624990383750728,0.07066177434776305,-0.07074342496640107,0.0790377411386175,0.17699332880390833
high_to_low_roughness,stable_high_roughness,16,1,78,late,0.05985529127510231,-0.07264266444049268,0.20982714471159147,0.008890399333179583,-0.14997185343648917,-0.08153306377367227
high_to_low_roughness,stable_high_roughness,16,1,81,late,0.38321478442234624,0.4151517579607479,0.24106613853870462,-0.15577929647708377,0.14214864588364162,0.5709310544378317
high_to_low_roughness,stable_high_roughness,16,1,84,late,-0.06944064812631305,0.1690098840040973,-0.3619635004838534,0.003421873282065113,0.29252285235754033,0.1655880107220322
high_to_low_roughness,stable_high_roughness,16,1,87,late,-0.178138299244889,-0.4123354861899379,0.4332165778295916,-0.0198781181975612,-0.6113548770744806,-0.39245736799237674
high_to_low_roughness,stable_high_roughness,16,1,90,late,0.17404163285390561,0.04324944653191731,0.05133948057917154,0.19063507711817784,0.12270215227473408,-0.14738563058626053
high_to_low_roughness,stable_high_roughness,16,1,93,late,0.015456652807378358,0.015052581426370861,0.051252816193862405,-0.004532429949451118,-0.035796163386484045,0.019585011375821977
high_to_low_roughness,stable_high_roughness,16,1,96,late,-0.025630207028541255,0.42654020511298796,-0.5210174665825975,0.00813905689260841,0.49538725955405627,0.41840114822037955
high_to_low_roughness,stable_high_roughness,16,1,99,late,-0.006999677839344125,-0.027347555983958174,0.06511072826114263,0.00894683474179725,-0.07211040610048675,-0.036294390725755424
high_to_low_roughness,stable_high_roughness,16,1,102,late,0.004148769740268635,-0.030384785482954167,0.040084458932781925,-0.04945309693211573,-0.03593568919251329,0.01906831144916156
high_to_low_roughness,stable_high_roughness,16,1,105,late,-0.07671868099532526,-0.15004512595207473,0.16831073045683484,1.8366170938825046e-06,-0.24502941145216012,-0.1500469625691686
high_to_low_roughness,stable_high_roughness,16,1,108,late,-0.2362857951359216,-0.31670286100982936,0.11054682794700962,-0.010892039167194546,-0.3468326230829312,-0.3058108218426348
high_to_low_roughness,stable_high_roughness,16,1,111,late,-0.24009004047556362,-0.2776176738502418,0.034107982671590806,-0.007600950403873397,-0.2741980231471544,-0.2700167234463684
