direction,horizon,relative_origin,transition_smoothness,start_reference_smoothness,target_reference_smoothness,mean_abs_smoothness_gap_to_target,mean_transition_order,mean_start_order,mean_target_order,mean_transition_window,mean_start_window,mean_target_window,order_match_target_share,window_match_target_share,discrete_config_match_target_share,mean_transition_window_post_fraction,reference_smoothness_shift,smoothness_progress
high_to_low_roughness,3,78,0.9752634168635843,0.9497128762576056,0.9724570795720662,0.01302645353906762,2.0,2.1333333333333333,2.066666666666667,56.8,45.6,56.0,0.8333333333333334,0.4666666666666667,0.4,1.0,0.022744203314460587,1.1233869242513272
high_to_low_roughness,3,81,0.9761495347412391,0.9454973617903758,0.9791230960630859,0.0043686502200888395,2.0,2.066666666666667,2.066666666666667,56.8,43.2,52.0,0.9,0.6666666666666666,0.6333333333333333,1.0,0.033625734272710095,0.9115688806159377
high_to_low_roughness,3,84,0.9770841112091126,0.9491895127493634,0.9803234702091418,0.006204902116162148,1.9666666666666666,2.1333333333333333,2.066666666666667,55.2,45.6,55.2,0.9333333333333333,0.6,0.6,1.0,0.031133957459778427,0.8959541521756742
high_to_low_roughness,3,87,0.9777727062383279,0.9371210101688774,0.9806249142414224,0.005650929977461483,1.9333333333333333,2.066666666666667,2.0,53.6,42.4,53.6,0.9333333333333333,0.6,0.6,1.0,0.04350390407254501,0.93443788404971
high_to_low_roughness,3,90,0.9811274480133165,0.9390412069287251,0.9719364678086592,0.01385810085026193,2.0,2.1,2.033333333333333,52.8,48.0,52.8,0.9,0.7666666666666667,0.7,1.0,0.03289526087993411,1.2794013471485737
high_to_low_roughness,3,93,0.9781028615908911,0.9456287051416367,0.9827238649978463,0.00648816706656743,1.9666666666666666,2.1666666666666665,2.066666666666667,56.8,43.2,56.8,0.9333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.03709515985620959,0.8754284002315302
high_to_low_roughness,3,96,0.9783321356274741,0.9462550866937717,0.9815800348301124,0.00546931740893577,1.9666666666666666,2.1666666666666665,2.033333333333333,56.8,46.4,56.8,0.9333333333333333,0.7333333333333333,0.7333333333333333,1.0,0.035324948136340684,0.9080565047087231
high_to_low_roughness,3,99,0.981518010559507,0.944855907043766,0.9825887087836556,0.007825323239889903,2.0,2.1333333333333333,2.033333333333333,54.4,50.4,55.2,0.8333333333333334,0.6666666666666666,0.6666666666666666,1.0,0.03773280173988958,0.971624205604202
high_to_low_roughness,3,102,0.9817256043163666,0.9414429002764967,0.9819416070759696,0.00720806656145934,2.033333333333333,2.1333333333333333,2.033333333333333,55.2,50.4,56.8,0.8666666666666667,0.8333333333333334,0.8333333333333334,1.0,0.04049870679947287,0.9946664282226958
high_to_low_roughness,3,105,0.9826125805016807,0.94762889983738,0.9789765472218671,0.011015534026225515,2.066666666666667,2.066666666666667,2.033333333333333,52.8,42.4,52.8,0.8,0.7666666666666667,0.7333333333333333,1.0,0.03134764738448714,1.1159906271503133
high_to_low_roughness,3,108,0.9871317013172269,0.9508974542730257,0.9759036816388545,0.012045948047025235,2.2333333333333334,2.1333333333333333,2.1,54.4,48.0,54.4,0.8,0.7666666666666667,0.7333333333333333,1.0,0.025006227365828804,1.4490089414173513
