direction,matched_control,horizon,seed,mean_excess_adaptive_mse_advantage,transition_adaptive_mse_advantage,control_adaptive_mse_advantage
low_to_high,stable_low,3,9,0.002383754451919552,0.0006329921780829382,-0.0017507622738366126
low_to_high,stable_low,3,10,-0.0024283730382219882,-0.031088640353145503,-0.028660267314923514
low_to_high,stable_low,3,11,0.0008421234440715644,-0.006813823047101594,-0.007655946491173159
low_to_high,stable_low,3,12,0.01710135182196442,0.04715330012359884,0.0300519483016344
low_to_high,stable_low,3,13,0.007120987733998274,0.008683928244023456,0.0015629405100251778
low_to_high,stable_low,3,14,-0.033454634594786745,1.0002697639244271,1.033724398519214
low_to_high,stable_low,3,15,-0.004097441345416272,-0.008037564824358044,-0.003940123478941773
low_to_high,stable_low,3,16,0.001626226811810892,0.00901793684367395,0.007391710031863059
low_to_high,stable_low,3,17,-0.00926429609832859,-0.01282693161338248,-0.003562635515053897
low_to_high,stable_low,3,18,0.08927539043768809,0.2646354335607476,0.17536004312305953
low_to_high,stable_low,3,19,0.07025783119748366,0.04408562258717951,-0.026172208610304143
low_to_high,stable_low,3,20,0.00013501772442626875,-0.019499289487962417,-0.019634307212388687
low_to_high,stable_low,3,21,-0.019060404496364397,-0.014674182495202087,0.004386222001162313
low_to_high,stable_low,3,22,0.017258804008495117,0.016087742621387586,-0.0011710613871075287
low_to_high,stable_low,3,23,0.05010166782708382,0.040220212629397505,-0.009881455197686318
low_to_high,stable_low,3,24,0.0005707451843229947,-0.015068525817330194,-0.015639271001653188
low_to_high,stable_low,3,25,0.0015292835930757129,-0.004973486883987239,-0.006502770477062952
low_to_high,stable_low,3,26,0.06620941547559508,0.08310132781226708,0.01689191233667199
low_to_high,stable_low,3,27,0.06242668562198798,0.07314734270116538,0.01072065707917739
low_to_high,stable_low,3,28,0.08251307097093805,0.05976091848513141,-0.022752152485806643
low_to_high,stable_low,3,29,-0.014909367426266218,-0.027328271140915367,-0.01241890371464915
low_to_high,stable_low,6,0,0.08727398223716773,0.07643428196208993,-0.010839700275077782
low_to_high,stable_low,6,1,-0.07890475975462034,-0.11250204246292501,-0.03359728270830466
