direction,matched_control,seed,horizon,relative_origin,period,transition_adaptive_mse,transition_frozen_mse,transition_adaptive_mse_advantage,control_adaptive_mse,control_frozen_mse,control_adaptive_mse_advantage,excess_adaptive_mse_advantage
low_to_high,stable_low,0,3,27,early,0.02336046201376488,0.06493706822829942,0.041576606214534545,0.017834328737719306,0.014742260623482497,-0.003092068114236809,0.044668674328771356
low_to_high,stable_low,0,3,30,early,0.061332864295344326,0.047326360464280716,-0.01400650383106361,0.2753921440555542,0.2425679438010725,-0.032824200254481684,0.018817696423418073
low_to_high,stable_low,0,3,33,early,0.10036698423419149,0.12058653398916136,0.020219549754969868,0.16941686233520736,0.1680603364568278,-0.0013565258783795608,0.02157607563334943
low_to_high,stable_low,0,3,36,mid,0.26522502368287515,0.2176243845721856,-0.04760063911068954,0.5285140131607259,0.5362786371976775,0.007764624036951662,-0.0553652631476412
low_to_high,stable_low,0,3,39,mid,0.015700840917511203,0.024255540600742306,0.008554699683231103,0.519978858818682,0.47283994121448863,-0.047138917604193364,0.05569361728742447
low_to_high,stable_low,0,3,42,mid,0.28801830952714874,0.3576482009308406,0.06962989140369186,0.18717072037120583,0.14349101320889135,-0.04367970716231448,0.11330959856600634
low_to_high,stable_low,0,3,45,mid,0.0664169431899378,0.07868989539485377,0.012272952204915977,0.3927042235309672,0.4619070129264223,0.0692027893954551,-0.05692983719053912
low_to_high,stable_low,0,3,48,mid,0.18495205619495705,0.13337378995456203,-0.05157826624039502,0.16187084310365932,0.23029975266743244,0.06842890956377312,-0.12000717580416814
low_to_high,stable_low,0,3,51,mid,0.13830876033476383,0.12875987903422972,-0.009548881300534107,0.04801510162718639,0.04827384932138864,0.0002587476942022479,-0.009807628994736355
low_to_high,stable_low,0,3,54,mid,0.16910151747591384,0.18228068441606515,0.01317916694015131,0.24130929838639206,0.3150318723751218,0.07372257398872975,-0.06054340704857844
low_to_high,stable_low,0,3,57,mid,0.6422398556742065,0.626467872232594,-0.015771983441612458,0.7182251448152445,0.5901373019517399,-0.1280878428635046,0.11231585942189215
low_to_high,stable_low,0,3,60,mid,1.8166249175678921,1.7596122889845427,-0.057012628583349434,0.5011465025086235,0.36581836063453704,-0.13532814187408643,0.078315513290737
low_to_high,stable_low,0,3,63,mid,0.36165158013896326,0.0774747323604199,-0.28417684777854335,0.06580786860471162,0.10722580866682506,0.04141794006211344,-0.32559478784065676
low_to_high,stable_low,0,3,66,mid,0.07740351467859535,0.261363789997119,0.18396027531852366,0.4603555033603255,0.4010944974906147,-0.05926100586971078,0.24322128118823444
low_to_high,stable_low,0,3,69,mid,0.13347845496986158,0.03208240725996281,-0.10139604770989877,0.03303100705777081,0.051416795214849986,0.018385788157079176,-0.11978183586697794
low_to_high,stable_low,0,3,72,late,0.009689901929719448,0.018690600199026058,0.00900069826930661,0.11853634143690467,0.09250145764036362,-0.02603488379654105,0.035035582065847656
low_to_high,stable_low,0,3,75,late,0.10366528252927958,0.051706492236225365,-0.05195879029305421,0.3398406877090197,0.21574704270605635,-0.12409364500296335,0.07213485470990914
low_to_high,stable_low,0,3,78,late,0.22713046224464706,0.155809061018681,-0.07132140122596606,0.37442580207523135,0.3728521544156029,-0.0015736476596284743,-0.06974775356633758
low_to_high,stable_low,0,3,81,late,0.04878485554923656,0.02618011357345555,-0.022604741975781013,0.05033213397604638,0.052859286541911805,0.0025271525658654287,-0.02513189454164644
low_to_high,stable_low,0,3,84,late,0.32041537752235494,0.5044378042731601,0.18402242675080516,0.45440208829998957,0.48319288306688724,0.028790794766897665,0.1552316319839075
low_to_high,stable_low,0,3,87,late,0.42663634993181,1.3210531479234733,0.8944167979916633,0.4834803968114674,0.4753688517846202,-0.008111545026847244,0.9025283430185105
low_to_high,stable_low,0,3,90,late,0.03157098863189032,0.4732258485005465,0.44165485986865616,0.09929567557836812,0.06883316162851598,-0.030462513949852138,0.47211737381850827
low_to_high,stable_low,0,3,93,late,0.1147087727964559,0.15771802358538958,0.04300925078893368,0.32827983606439454,0.23567821519615562,-0.09260162086823892,0.13561087165717262
low_to_high,stable_low,0,3,96,late,0.06791643666354767,0.019830678067530513,-0.04808575859601716,0.14503790636010658,0.1603380971897385,0.01530019082963191,-0.06338594942564907
low_to_high,stable_low,0,3,99,late,0.03085227161546476,0.06421924470549069,0.033366973090025925,0.17153022119400105,0.18045420647787125,0.0089239852838702,0.024442987806155725
low_to_high,stable_low,0,3,102,late,0.18389999412482397,0.12667593116898,-0.05722406295584398,0.26454663539972856,0.16877587128081248,-0.09577076411891608,0.0385467011630721
low_to_high,stable_low,0,3,105,late,0.16666497413041195,0.31285698167179826,0.1461920075413863,0.19074816980848308,0.2018568179240071,0.011108648115524006,0.1350833594258623
low_to_high,stable_low,0,3,108,late,0.019330673870932187,0.3516234874502325,0.3322928135793003,0.14959978506220875,0.1484725853194931,-0.0011271997427156621,0.333420013322016
low_to_high,stable_low,0,3,111,late,0.30066874989362385,0.6424933204253162,0.3418245705316923,0.3786427613492156,0.37636931541714863,-0.002273445932066964,0.34409801646375926
low_to_high,stable_low,0,3,114,late,0.04418451153137865,0.33333019530848385,0.2891456837771052,0.24914376507538427,0.22604980190754853,-0.02309396316783574,0.31223964694494094
low_to_high,stable_low,0,3,117,late,0.6336339002429591,0.7918978474378834,0.15826394719492431,1.0366704116189673,0.9130905585092709,-0.12357985310969644,0.28184380030462075
low_to_high,stable_low,0,6,0,early,0.23662964921801358,0.23662964921801358,0.0,0.610478860586397,0.610478860586397,0.0,0.0
low_to_high,stable_low,0,6,3,early,0.13108432442383408,0.12992254568130276,-0.0011617787425313164,0.03766517339078399,0.03816069914595416,0.0004955257551701661,-0.0016573044977014825
low_to_high,stable_low,0,6,6,early,0.11043799457589382,0.2797328149881035,0.16929482041220967,0.17373692579979708,0.21460741100061145,0.04087048520081438,0.1284243352113953
