seed,ar1_phi,horizon,n_outer_origins,mean_order,mean_window,s_observed,s_latent,s_ar,s_recovery,gap_observed_minus_latent,gap_observed_minus_ar,gap_observed_minus_recovery,mse_observed,mse_latent_lambda,mse_recovery_lambda,mse_ar_oracle,latent_mse_observed,latent_mse_latent,latent_mse_recovery,rmse_ar_vs_trend_only
1,0.4,2,20,2.35,58.8,0.9796255187872223,0.9842611590875165,0.9836807200128701,0.986386279872195,-0.004635640300294208,-0.004055201225647842,-0.006760761084972783,0.31976298237959233,0.30808286202246105,0.3156271863732557,0.2855145581932335,0.12021571372164319,0.11699216881656697,0.11674988315334359,0.9449308669913702
1,0.4,3,20,2.1,50.4,0.9786213895820852,0.9810438333963392,0.9820150261455582,0.9836186749350049,-0.002422443814253972,-0.003393636563472907,-0.00499728535291955,0.2847009390042036,0.28011321685052015,0.281689695620181,0.2613429097481895,0.11363243404957683,0.11551317972273505,0.11389113129502673,0.9581001569387905
1,0.4,6,20,2.1,48.0,0.9807548565400722,0.98136906011249,0.9818504704729831,0.9832377305230177,-0.0006142035724178152,-0.001095613932910855,-0.0024828739829453605,0.32340180568964166,0.32311496215738517,0.328457801445358,0.3122385421220288,0.15955272645062163,0.16344585587081895,0.16563056793534475,0.9825893101950964
1,0.4,12,19,2.0526315789473686,49.26315789473684,0.9786997382115745,0.9800819828857261,0.9790086952763677,0.9825555775256256,-0.0013822446741516645,-0.0003089570647931928,-0.0038558393140510614,0.4448548640486466,0.45294148380911853,0.44155723245327466,0.4385891554099879,0.27709988597147395,0.2852230400654154,0.27384277739421575,0.9929326070401694
1,0.6,1,20,2.25,45.6,0.8471929636632594,0.9265420396607841,0.8823941316292853,0.9677859632107714,-0.07934907599752473,-0.035201167966025924,-0.12059299954751204,0.30117230408401624,0.3080704414930916,0.42242758322341445,0.23154091064536853,0.14083448049335823,0.16004369583236225,0.23729838840812184,0.876811733220906
1,0.6,2,20,1.9,46.8,0.8457834754468134,0.9186921682681991,0.869114473635158,0.9661703478232697,-0.07290869282138554,-0.02333099818834461,-0.12038687237645625,0.34775102380324896,0.3384772572164728,0.4511338318230272,0.2758885630625262,0.1584611094319121,0.16434526664729293,0.24330178620428938,0.8907024357901794
1,0.6,3,20,1.8,45.6,0.8955604719562708,0.936949356973137,0.914165380553617,0.9694767799471184,-0.04138888501686623,-0.018604908597346058,-0.0739163079908477,0.31420451573072056,0.3055839316668457,0.36307946396721363,0.2481164375121351,0.1729252490160965,0.18021663339085853,0.21576108637022745,0.8886311998124061
1,0.6,6,20,1.95,44.4,0.9499948337075346,0.9680312014644809,0.9593237067692828,0.9779177315455584,-0.018036367756946458,-0.009328873061748339,-0.027922897838023965,0.3704042829552914,0.3712764943932907,0.37785614481662916,0.3378188014856355,0.24917894009516584,0.26216898678244277,0.26864826186597784,0.955001180714723
1,0.6,12,19,2.0526315789473686,48.0,0.9803047497169367,0.9823356473434915,0.9810596470796603,0.9852351641840433,-0.002030897626554816,-0.0007548973627236055,-0.004930414467106544,0.502864050345394,0.5156387217160239,0.49818743371666724,0.4865151226122018,0.36502012416977564,0.37881372716895784,0.3634438926483097,0.9836098690022793
1,0.8,1,20,1.65,38.4,0.6580155724676041,0.8492615400886085,0.8064532258909122,0.9517353189744562,-0.19124596762100438,-0.14843765342330806,-0.293719746506852,0.16902967681692466,0.2190762855227491,0.377602218939071,0.13768998772843125,0.2668458835424235,0.2801934718450816,0.4367780759504365,0.9025467362286066
1,0.8,2,20,1.55,32.4,0.6957994016276479,0.8778303437578195,0.8284982388903103,0.9579408399584786,-0.18203094213017162,-0.1326988372626625,-0.2621414383308308,0.21871298492334512,0.28440474577089975,0.3986147959809567,0.18197592279984462,0.26880375102058496,0.3221583448381541,0.4149628959811156,0.9121571806426622
1,0.8,3,20,1.5,38.4,0.6940463086576366,0.8077679901048651,0.7680820637521979,0.9486609402541857,-0.11372168144722838,-0.07403575509456124,-0.2546146315965491,0.29856165652289246,0.2897533000632654,0.4696270162330583,0.21738816721618784,0.36136409515241497,0.3518602235565442,0.5120589572575714,0.8532984066505506
1,0.8,6,20,1.7,40.8,0.8657148579823207,0.944808322936875,0.9125716096261665,0.9709356163795262,-0.07909346495455419,-0.04685675164384561,-0.10522075839720527,0.37374959529215007,0.3758071024559681,0.4262908861389061,0.294474322478374,0.3889414256982665,0.410743053650096,0.4597231215835266,0.8876328165267094
1,0.8,12,19,1.7894736842105263,42.94736842105263,0.876232110012474,0.9548362069404351,0.8969493404757841,0.9780756908167539,-0.07860409692796118,-0.02071723046331007,-0.10184358080427977,0.5731633300613538,0.59843958062961,0.600693410196628,0.5372004336643146,0.5561108151365425,0.5966887226705622,0.6096704736074564,0.9681195241572415
1,0.9,1,20,1.65,32.4,0.6750132681347792,0.9326685953602369,0.9315552800154556,0.9667928151864975,-0.2576553272254578,-0.2565420118806764,-0.2917795470517183,0.07414891620063678,0.16101204272410735,0.23713382374298236,0.07048180223777518,0.2615770558159026,0.3438155528358856,0.4144135332271096,0.9749584249426106
1,0.9,2,20,1.65,33.6,0.6833069915580993,0.9288730709896937,0.894613915113263,0.9684060671578371,-0.24556607943159442,-0.21130692355516376,-0.28509907559973785,0.11345726202232716,0.20782386178643386,0.2538494843780764,0.10878987898823947,0.2901256810574201,0.3639658992597884,0.40700925950144323,0.9792150898753919
