direction,horizon,relative_origin,transition_smoothness,start_reference_smoothness,target_reference_smoothness,mean_abs_smoothness_gap_to_target,mean_transition_order,mean_start_order,mean_target_order,mean_transition_window,mean_start_window,mean_target_window,order_match_target_share,window_match_target_share,discrete_config_match_target_share,mean_transition_window_post_fraction,reference_smoothness_shift,smoothness_progress
high_to_low,3,-54,0.5044025645284662,0.5044025645284662,0.9681676956943414,0.46417703376592867,1.4666666666666666,1.4666666666666666,2.0,43.2,43.2,47.2,0.5666666666666667,0.5,0.3333333333333333,0.0,0.46376513116587514,0.0
high_to_low,3,-51,0.4701226477296336,0.4701226477296336,0.9682826319027348,0.4992815155799212,1.4,1.4,2.0,42.4,42.4,48.8,0.5,0.5,0.3,0.0,0.4981599841731012,0.0
high_to_low,3,-48,0.48531873195542946,0.48531873195542946,0.9717514245376281,0.48673870448642903,1.4,1.4,2.066666666666667,42.4,42.4,47.2,0.4666666666666667,0.3,0.2,0.0,0.4864326925821986,0.0
high_to_low,3,-45,0.5548198599840167,0.5548198599840167,0.9650806894694409,0.4106324905086278,1.4666666666666666,1.4666666666666666,1.9666666666666666,40.8,40.8,44.0,0.6,0.5,0.36666666666666664,0.0,0.4102608294854242,0.0
high_to_low,3,-42,0.5238577885928797,0.5238577885928797,0.9664585834321975,0.44417584995010867,1.4,1.4,1.9666666666666666,37.6,37.6,44.0,0.5,0.4666666666666667,0.26666666666666666,0.0,0.4426007948393178,0.0
high_to_low,3,-39,0.5175825372409191,0.5175825372409191,0.967731741626183,0.4516503110005562,1.4,1.4,2.033333333333333,38.4,38.4,49.6,0.4666666666666667,0.4,0.23333333333333334,0.0,0.45014920438526396,0.0
high_to_low,3,-36,0.46551480750139035,0.46551480750139035,0.9634902590183434,0.4994086697924736,1.3666666666666667,1.3666666666666667,1.9333333333333333,42.4,42.4,48.8,0.43333333333333335,0.43333333333333335,0.23333333333333334,0.0,0.49797545151695305,0.0
high_to_low,3,-33,0.45516996084126354,0.45516996084126354,0.9671885303623149,0.515150760749534,1.4,1.4,2.0,47.2,47.2,50.4,0.4,0.5333333333333333,0.23333333333333334,0.0,0.5120185695210513,0.0
high_to_low,3,-30,0.4534497056338798,0.4534497056338798,0.971046799897645,0.5207880068724673,1.4333333333333333,1.4333333333333333,2.0,42.4,42.4,49.6,0.4,0.4666666666666667,0.23333333333333334,0.0,0.5175970942637651,0.0
high_to_low,3,-27,0.4529747724005813,0.4529747724005813,0.9714620428677381,0.5213021803112083,1.4,1.4,2.0,42.4,42.4,45.6,0.3333333333333333,0.3333333333333333,0.13333333333333333,0.0,0.5184872704671568,0.0
high_to_low,3,-24,0.49541738772756777,0.49541738772756777,0.9700698348359008,0.476270315353126,1.4333333333333333,1.4333333333333333,1.9333333333333333,42.4,42.4,46.4,0.4,0.3,0.16666666666666666,0.0,0.47465244710833304,0.0
high_to_low,3,-21,0.44847438089427233,0.44847438089427233,0.9698380643727592,0.5213636834784868,1.3666666666666667,1.3666666666666667,1.9666666666666666,45.6,45.6,46.4,0.4,0.4,0.16666666666666666,0.0,0.5213636834784869,0.0
high_to_low,3,-18,0.41199680133397987,0.41199680133397987,0.9694422728185131,0.5577908239909106,1.3333333333333333,1.3333333333333333,2.0,47.2,47.2,48.8,0.43333333333333335,0.43333333333333335,0.23333333333333334,0.0,0.5574454714845333,0.0
high_to_low,3,-15,0.4171993116880399,0.4171993116880399,0.965878523770641,0.5490660679742703,1.3333333333333333,1.3333333333333333,2.0,50.4,50.4,50.4,0.43333333333333335,0.4,0.16666666666666666,0.0,0.5486792120826011,0.0
high_to_low,3,-12,0.4493713325489227,0.4493713325489227,0.9663084516251436,0.5179689819137008,1.3666666666666667,1.3666666666666667,2.066666666666667,49.6,49.6,53.6,0.43333333333333335,0.3333333333333333,0.13333333333333333,0.0,0.5169371190762209,0.0
high_to_low,3,-9,0.44029372692995994,0.44029372692995994,0.9694838469274284,0.5295521828953946,1.3666666666666667,1.3666666666666667,2.1666666666666665,52.0,52.0,52.0,0.36666666666666664,0.4666666666666667,0.16666666666666666,0.0,0.5291901199974685,0.0
