seed,transition,pre_phi,post_phi,horizon,regime_point,outer_origin,relative_origin,post_observations_seen,selected_window_pre_count,selected_window_post_count,selected_window_post_fraction,forecast_block_relation,selected_order,selected_window,selected_lambda,selected_smoothness,inner_objective,search_source,n_stationary_points,outer_block_mse,benchmark_block_mse,relative_rmsfe_block
0,stable_low,0.0,0.0,3,180,174,-6,0,72,0,0.0,pre,2,72,3206.5766486587972,0.9658851885536353,0.301256636995584,stationary_minimum,2,0.9909775889870671,0.7521253809892321,1.147854376049159
0,stable_low,0.0,0.0,3,180,177,-3,0,72,0,0.0,pre,2,72,8459.6343555024,0.97632909059359,0.3287774777866543,stationary_minimum,2,1.1899099280072365,2.252816024489677,0.7267652955213422
0,stable_low,0.0,0.0,3,180,180,0,0,72,0,0.0,post,3,72,14632432.191137515,0.9978164800307442,0.35910546954818207,stationary_minimum,1,0.9952429868100728,6.669466750576333,0.3862949289843275
0,stable_low,0.0,0.0,3,180,183,3,3,69,3,0.041666666666666664,post,2,72,11873.136336705575,0.9794114406979019,0.3803804010586684,stationary_minimum,2,0.0502583415045282,0.8890913009825326,0.23775567722368907
0,stable_low,0.0,0.0,3,180,186,6,6,66,6,0.08333333333333333,post,2,72,13541.954582548484,0.9805379786246645,0.37567710017557754,stationary_minimum,2,0.12249303084255692,0.06570879624510313,1.3653498113739233
0,stable_low,0.0,0.0,3,180,189,9,9,63,9,0.125,post,2,72,16583.1402518326,0.9822026254662056,0.3619388672201055,stationary_minimum,2,0.26478082335830905,0.32595994448826754,0.9012829316975716
0,stable_low,0.0,0.0,3,180,192,12,12,60,12,0.16666666666666666,post,2,72,22803.721718901877,0.9846576510949671,0.3643585337640683,stationary_minimum,2,0.04749148134985378,0.22286905455290795,0.4616182526835468
0,stable_low,0.0,0.0,3,180,195,15,15,57,15,0.20833333333333334,post,2,72,32872.87329976675,0.9872485901506677,0.34056309510711125,stationary_minimum,2,0.4240702618774004,0.441949999105109,0.9795629276437066
0,stable_low,0.0,0.0,3,180,198,18,18,54,18,0.25,post,2,72,28319.28178059094,0.9862208477892189,0.34549756451758284,stationary_minimum,2,0.20444555112710214,0.2149391742649623,0.9752838758284045
0,stable_low,0.0,0.0,3,180,201,21,21,51,21,0.2916666666666667,post,2,72,33620.55090758519,0.9874002115166106,0.34618080718386096,stationary_minimum,2,0.44418604085891716,0.375629628396893,1.087433061315761
