direction,seed,horizon,relative_origin,transition_order,transition_window,transition_smoothness,transition_window_post_fraction,start_order,start_window,start_smoothness,start_window_post_fraction,target_order,target_window,target_smoothness,target_window_post_fraction,abs_smoothness_gap_to_target,order_match_target,window_match_target,discrete_config_match_target
low_to_high,13,12,48,2,48,0.9908981147634269,1.0,2,72,0.9730526188154242,0.6666666666666666,2,48,0.9923369525472029,1.0,0.0014388377837759592,1.0,1.0,1.0
low_to_high,13,12,51,2,72,0.9776489504075698,0.7083333333333334,2,72,0.9710826721203151,0.7083333333333334,2,48,0.9912024180147575,1.0,0.013553467607187675,1.0,0.0,0.0
low_to_high,13,12,54,2,72,0.9719336427571954,0.75,2,72,0.9713128169014793,0.75,2,48,0.9901218256008412,1.0,0.01818818284364576,1.0,0.0,0.0
low_to_high,13,12,57,2,72,0.9747227114391623,0.7916666666666666,2,72,0.9736622670651517,0.7916666666666666,2,48,0.9900339062896115,1.0,0.015311194850449183,1.0,0.0,0.0
low_to_high,13,12,60,2,72,0.9781781747240538,0.8333333333333334,2,72,0.9760889467841752,0.8333333333333334,2,48,0.9912472747244832,1.0,0.013069100000429379,1.0,0.0,0.0
low_to_high,13,12,63,2,48,0.9879815758520284,1.0,2,72,0.9765489468416458,0.875,2,48,0.9919946065312922,1.0,0.00401303067926384,1.0,1.0,1.0
low_to_high,13,12,66,2,48,0.9890175819478613,1.0,2,72,0.9769602188806162,0.9166666666666666,2,48,0.9924675595014517,1.0,0.0034499775535904442,1.0,1.0,1.0
low_to_high,13,12,69,2,48,0.9897197856190758,1.0,2,72,0.9770775210589084,0.9583333333333334,2,48,0.9929622356457892,1.0,0.003242450026713417,1.0,1.0,1.0
low_to_high,13,12,72,2,48,0.9900292082485562,1.0,2,72,0.9771040749530364,1.0,2,48,0.993267857946871,1.0,0.0032386496983147772,1.0,1.0,1.0
low_to_high,13,12,75,2,72,0.9821248947639051,1.0,2,72,0.9769462459178522,1.0,2,48,0.993150460698783,1.0,0.011025565934877912,1.0,0.0,0.0
low_to_high,13,12,78,2,72,0.9824140030863461,1.0,2,72,0.9769839576592683,1.0,2,48,0.9927164677246486,1.0,0.010302464638302533,1.0,0.0,0.0
low_to_high,13,12,81,2,72,0.9829165779165813,1.0,2,72,0.9783386068688319,1.0,2,48,0.992298735747474,1.0,0.00938215783089269,1.0,0.0,0.0
low_to_high,13,12,84,2,72,0.9835944013143522,1.0,2,48,0.9868563732103756,1.0,2,48,0.9918066265853359,1.0,0.008212225270983753,1.0,0.0,0.0
low_to_high,13,12,87,2,72,0.9844008838894511,1.0,2,48,0.987660753876339,1.0,2,48,0.9908907583523244,1.0,0.006489874462873302,1.0,0.0,0.0
low_to_high,13,12,90,2,72,0.9853152556438525,1.0,2,48,0.9889592652487063,1.0,2,48,0.9899224461733426,1.0,0.004607190529490102,1.0,0.0,0.0
low_to_high,13,12,93,2,72,0.9860668518946196,1.0,2,72,0.9837163135361912,1.0,2,48,0.9898191077014626,1.0,0.003752255806843019,1.0,0.0,0.0
low_to_high,13,12,96,2,72,0.9865890952516713,1.0,2,72,0.984240645557768,1.0,2,48,0.9909036995342292,1.0,0.004314604282557921,1.0,0.0,0.0
low_to_high,13,12,99,2,72,0.988061641136802,1.0,2,72,0.9857181171326507,1.0,2,72,0.9879596930480945,1.0,0.00010194808870744865,1.0,1.0,1.0
low_to_high,13,12,102,2,72,0.9896365635231097,1.0,2,72,0.9858992650070877,1.0,2,72,0.9894465664954453,1.0,0.0001899970276644236,1.0,1.0,1.0
low_to_high,13,12,105,2,72,0.9914416775534781,1.0,2,72,0.9871545639679762,1.0,2,72,0.9910515841760922,1.0,0.0003900933773859361,1.0,1.0,1.0
low_to_high,13,12,108,2,72,0.9925683533765798,1.0,2,72,0.9878355903132402,1.0,2,72,0.9919423425478668,1.0,0.0006260108287129418,1.0,1.0,1.0
low_to_high,14,1,-60,2,24,1.0000041241331297,0.0,2,24,1.0000041241331297,0.0,1,48,3.045995807355589e-08,0.0,1.0000040936731716,0.0,0.0,0.0
low_to_high,14,1,-57,2,24,1.0000000425373123,0.0,2,24,1.0000000425373123,0.0,1,48,0.40357292819839724,0.0,0.596427114338915,0.0,0.0,0.0
low_to_high,14,1,-54,2,24,1.0000041241331297,0.0,2,24,1.0000041241331297,0.0,1,48,0.47481262194987217,0.0,0.5251915021832575,0.0,0.0,0.0
