transition,pre_phi,post_phi,horizon,relative_origin,n_seeds,mean_order,modal_order,mean_window,modal_window,mean_smoothness,median_smoothness,mean_selected_window_post_fraction,frac_lower_boundary,frac_upper_boundary,mean_outer_block_mse,mean_benchmark_block_mse,pooled_relative_rmsfe
high_to_low,0.8,0.0,3,39,30,1.5666666666666667,2,46.4,24,0.7908674387296913,0.9319115575148704,0.8,0.03333333333333333,0.03333333333333333,0.44492949143539423,0.5602668031991462,0.8911445416648914
high_to_low,0.8,0.0,3,42,30,1.7333333333333334,2,47.2,48,0.8666080225235196,0.9574333110484329,0.8291666666666667,0.03333333333333333,0.03333333333333333,0.2970563089348437,0.531067789665451,0.7479015090870769
high_to_low,0.8,0.0,3,45,30,1.7333333333333334,2,44.8,24,0.8736501080490118,0.9598728188259511,0.8791666666666667,0.03333333333333333,0.03333333333333333,0.45220465797807663,0.8141205823105475,0.7452863179584923
high_to_low,0.8,0.0,3,48,30,1.8,2,45.6,48,0.904663504788535,0.9654540829634664,0.9222222222222223,0.0,0.03333333333333333,0.321096377028191,0.7105320506938937,0.6722423461822326
high_to_low,0.8,0.0,3,51,30,1.7666666666666666,2,44.0,48,0.9031265869249806,0.9641256023788187,0.9611111111111111,0.0,0.06666666666666667,0.33942302077621844,0.45666153004338955,0.8621313413028169
high_to_low,0.8,0.0,3,54,30,1.7333333333333334,2,45.6,48,0.8906212934846601,0.9608122026723531,0.95,0.0,0.06666666666666667,0.2992485241922528,0.6420965771516716,0.6826778801194252
high_to_low,0.8,0.0,3,57,30,1.8333333333333333,2,45.6,48,0.91487664508814,0.9654680554468054,0.951388888888889,0.0,0.06666666666666667,0.3246148606662852,0.5580828808842304,0.7626668124904606
high_to_low,0.8,0.0,3,60,30,1.8666666666666667,2,44.8,48,0.9363256241806952,0.9688735028912823,0.9666666666666667,0.0,0.03333333333333333,0.3263408927556087,0.7389782744152521,0.664538142759399
high_to_low,0.8,0.0,3,63,30,1.8666666666666667,2,47.2,48,0.9190461186017771,0.9668664640664161,0.9666666666666667,0.0,0.0,0.33261208104475437,0.5479223818143536,0.7791292146721185
high_to_low,0.8,0.0,3,66,30,1.9666666666666666,2,48.0,48,0.9355629618810135,0.9718818570223184,0.975,0.0,0.03333333333333333,0.3355481544215165,0.5606243524613878,0.7736445097117219
high_to_low,0.8,0.0,3,69,30,1.9333333333333333,2,44.8,48,0.9461930703585183,0.9705985712701847,0.9916666666666667,0.0,0.03333333333333333,0.2894802190641547,0.4550897596621397,0.7975555007204609
high_to_low,0.8,0.0,3,72,30,2.0,2,47.2,48,0.9444667262839006,0.970562722495586,1.0,0.0,0.06666666666666667,0.4000714863242772,0.7604821987894478,0.7253110159389717
high_to_low,0.8,0.0,3,75,30,1.9666666666666666,2,44.8,48,0.9427512556149023,0.9755157037585527,1.0,0.0,0.06666666666666667,0.4089888858009369,0.6163710870791348,0.8145816525162362
high_to_low,0.8,0.0,3,78,30,2.033333333333333,2,49.6,48,0.9612226998896276,0.9775882084602023,1.0,0.0,0.06666666666666667,0.28577272486493344,0.874495779909389,0.5716517389215706
high_to_low,0.8,0.0,3,81,30,2.0,2,52.0,72,0.9572262338371881,0.9779749669381925,1.0,0.0,0.03333333333333333,0.2791923838217484,0.4637280618533791,0.7759256250168567
high_to_low,0.8,0.0,3,84,30,2.033333333333333,2,47.2,48,0.9600238250767003,0.9778921231467548,1.0,0.0,0.06666666666666667,0.339097281124288,0.7954302548451698,0.6529216973506426
