seed,transition,pre_phi,post_phi,horizon,regime_point,outer_origin,relative_origin,post_observations_seen,inner_origin_count,inner_origin_earliest,inner_origin_latest,inner_origin_post_fraction,selected_window_pre_count,selected_window_post_count,selected_window_post_fraction,forecast_block_relation,selected_order,selected_window,selected_lambda,selected_smoothness,inner_objective,search_source,n_stationary_points,outer_block_mse,benchmark_block_mse,relative_rmsfe_block,selector_max_inner_origins,selector_validation_span_observations,inner_step
0,stable_high,0.8,0.8,1,180,150,-30,0,5,135,147,0.0,48,0,0.0,pre,3,48,4994297.8268125905,0.9990548745860378,0.07790701668379571,stationary_minimum,3,0.24909487133081834,0.0025079794503066986,9.96598905963952,5,12,3
0,stable_high,0.8,0.8,1,180,153,-27,0,5,138,150,0.0,72,0,0.0,pre,3,72,26489122129.84347,0.9999987523564559,0.11095975018750026,upper_boundary,4,0.0016989222710728496,0.055854777368774616,0.17440406057727734,5,12,3
0,stable_high,0.8,0.8,1,180,156,-24,0,5,141,153,0.0,24,0,0.0,pre,3,24,0.8645769176568349,0.6577874254170444,0.09161960444362674,stationary_minimum,5,0.0006818703998183281,0.05431342257332088,0.11204625195715014,5,12,3
0,stable_high,0.8,0.8,1,180,159,-21,0,5,144,156,0.0,72,0,0.0,pre,3,72,0.5208844821760005,0.5977733576354488,0.05963160089936041,stationary_minimum,7,0.22147232888390045,0.000318577088145912,26.36649899759673,5,12,3
0,stable_high,0.8,0.8,1,180,162,-18,0,5,147,159,0.0,24,0,0.0,pre,1,24,1.5947972454767507,0.6405543724787949,0.04113831533400677,stationary_minimum,2,0.3731336601106073,0.25173611948883834,1.2174733051553366,5,12,3
0,stable_high,0.8,0.8,1,180,165,-15,0,5,150,162,0.0,24,0,0.0,pre,3,24,1.0273183611442058,0.6711909750658397,0.034810607223514825,stationary_minimum,4,0.0017830042178465654,0.20537568409296567,0.09317548751169953,5,12,3
0,stable_high,0.8,0.8,1,180,168,-12,0,5,153,165,0.0,24,0,0.0,pre,3,24,0.99407135908647,0.6686759973862474,0.03481005939999113,stationary_minimum,3,0.026615174664595564,0.0012954061422102425,4.532749141684684,5,12,3
0,stable_high,0.8,0.8,1,180,171,-9,0,5,156,168,0.0,24,0,0.0,pre,3,24,1.1414929247021313,0.6791183543827923,0.037961963132088494,stationary_minimum,3,0.32444648697142586,0.37633852419180625,0.9285006226114019,5,12,3
0,stable_high,0.8,0.8,1,180,174,-6,0,5,159,171,0.0,24,0,0.0,pre,3,24,1.3896513677971645,0.6934065479239558,0.09923044020510449,stationary_minimum,3,0.3204273122082437,0.5316873062197841,0.7763125686022732,5,12,3
0,stable_high,0.8,0.8,1,180,177,-3,0,5,162,174,0.0,48,0,0.0,pre,3,48,0.8993322269588158,0.6456661403709508,0.1391517224161997,stationary_minimum,4,0.45759824610051486,0.008115178819414018,7.509190613175265,5,12,3
0,stable_high,0.8,0.8,1,180,180,0,0,5,165,177,0.0,48,0,0.0,post,2,48,0.06877172764311774,0.237631366801034,0.20641187888785756,stationary_minimum,3,1.7864662164957361,0.19883039152275353,2.997478108741766,5,12,3
0,stable_high,0.8,0.8,1,180,183,3,3,5,168,180,0.2,21,3,0.125,post,1,24,0.506879194080698,0.429211253228511,0.20365396941524208,stationary_minimum,2,0.011884830290449273,0.011643260476578739,1.0103205475638486,5,12,3
