selector_max_inner_origins,transition,horizon,period,n_blocks,mean_selected_order,mean_selected_window,mean_selected_smoothness,mean_inner_origin_post_fraction,mean_outer_block_mse,mean_benchmark_block_mse,pooled_relative_rmsfe
5,stable_low,1,pre,600,2.18,51.6,0.8994129978024684,0.0,0.4119358060982895,0.5127165168429773,0.8963468930977091
5,stable_low,3,early,360,2.1416666666666666,52.2,0.9385547758768207,0.75,0.3398302895265485,0.5861002731681458,0.7614564694405878
5,stable_low,3,late,480,2.2895833333333333,54.05,0.9498616920777347,1.0,0.3738554192106013,0.703478066115135,0.7289983740151386
5,stable_low,3,mid,360,2.272222222222222,53.8,0.9515561232455798,1.0,0.38787052928236326,0.5972022769621913,0.8059027986684978
5,stable_low,3,pre,600,2.1283333333333334,53.2,0.9358246006223826,0.0,0.37441323445083946,0.5310800142854895,0.8396448268318147
5,stable_low,6,early,360,2.202777777777778,54.8,0.9571634239666812,0.6666666666666666,0.3819802812601733,0.8182587780134641,0.6832429129480679
5,stable_low,6,late,450,2.2844444444444445,54.72,0.9634979932670271,1.0,0.3682479142435658,1.1585246163455634,0.5637901899235296
5,stable_low,6,mid,360,2.3194444444444446,55.666666666666664,0.9736655127209506,1.0,0.42220583113291843,0.9102304331012251,0.6810616679022885
5,stable_low,6,pre,600,2.158333333333333,56.04,0.9656185084988013,0.0,0.429907742710537,0.6995267637697179,0.7839447677484408
5,stable_low,12,early,360,2.1777777777777776,56.13333333333333,0.9738268332305807,0.5,0.7262633737585803,1.7229714759162145,0.6492441237274758
5,stable_low,12,late,390,2.2512820512820513,56.61538461538461,0.9731432179331534,1.0,0.5172217579709281,2.826344361714221,0.4277852986528241
5,stable_low,12,mid,360,2.2777777777777777,56.6,0.9852764735119744,1.0,0.5420428232501,2.111519924592864,0.5066630199638508
5,stable_low,12,pre,600,2.14,58.96,0.966886640874706,0.0,0.552726101744295,1.3090474296557684,0.64979639243166
10,high_to_low,1,early,360,2.0194444444444444,50.266666666666666,0.8044184803130983,0.5416666666666666,0.42967618250079853,0.48998103679195193,0.9364422596744546
10,high_to_low,1,late,480,2.220833333333333,50.45,0.91256999080294,1.0,0.3482639902797674,0.527178596660582,0.8127844777156861
10,high_to_low,1,mid,360,2.25,51.4,0.903777064733518,1.0,0.3847761193297537,0.5012673065954686,0.8761316412001636
10,high_to_low,1,pre,600,1.6983333333333333,45.76,0.5581107720459089,0.0,0.1533784981205482,0.11499485762818815,1.1548964077112471
10,high_to_low,3,early,360,1.9083333333333334,50.6,0.8251059666606464,0.5416666666666666,0.3972206958674154,0.5789390603185539,0.8283225945995949
10,high_to_low,3,late,480,2.2083333333333335,52.65,0.9482319816497718,1.0,0.3475942915418781,0.703478066115135,0.7029283142703473
10,high_to_low,3,mid,360,2.158333333333333,49.53333333333333,0.9696765256090824,1.0,0.3450474521862344,0.5972022769621913,0.7601139185369995
10,high_to_low,3,pre,600,1.62,49.56,0.5896211736850855,0.0,0.2617939452271828,0.23751491494927762,1.0498671708579137
10,high_to_low,6,early,360,2.0194444444444444,53.266666666666666,0.9024019016112814,0.4583333333333333,0.4371888539391674,0.8080236672358314,0.7355674449267866
10,high_to_low,6,late,450,2.2288888888888887,51.89333333333333,0.9643166412889609,1.0,0.3761301217559545,1.1585246163455634,0.5697921008455127
10,high_to_low,6,mid,360,2.188888888888889,50.4,0.9801504667272962,1.0,0.3969770579887723,0.9102304331012251,0.660399945122363
10,high_to_low,6,pre,600,1.785,53.6,0.7666300243514825,0.0,0.44077384223412736,0.4774932815874257,0.9607807078527023
10,high_to_low,12,early,360,2.033333333333333,55.53333333333333,0.9017249331023284,0.3,0.6056978509208913,1.7063081861338218,0.5957983267515654
10,high_to_low,12,late,390,2.2102564102564104,52.49230769230769,0.9705079671541347,1.0,0.4975319938627408,2.826344361714221,0.41956376031117054
10,high_to_low,12,mid,360,2.1444444444444444,52.2,0.9795275621065224,0.9916666666666667,0.5641633295583143,2.111519924592864,0.5168979799572043
10,high_to_low,12,pre,600,1.9416666666666667,56.8,0.8817291819126044,0.0,0.7913241650168059,1.1888728497241303,0.8158484814101602
10,low_to_high,1,early,360,1.9527777777777777,48.733333333333334,0.7198942620097548,0.5416666666666666,0.19867818632001613,0.11254915357275325,1.328629762422415
10,low_to_high,1,late,480,1.74375,45.2,0.530069955064328,1.0,0.14820230222965047,0.13780544552451232,1.0370370803952529
10,low_to_high,1,mid,360,1.7833333333333334,46.333333333333336,0.5201763107952752,1.0,0.1719763803945556,0.13033984205416851,1.1486713969524418
10,low_to_high,1,pre,600,2.19,52.0,0.9327138798437384,0.0,0.35420521388751375,0.5127165168429773,0.8311680119370499
10,low_to_high,3,early,360,1.9833333333333334,48.93333333333333,0.8411766801765703,0.5416666666666666,0.2609180384359512,0.2658965209544694,0.990594072541833
10,low_to_high,3,late,480,1.6854166666666666,49.65,0.5725807376623658,1.0,0.25990415464927313,0.3687966665965252,0.8394853419913837
10,low_to_high,3,mid,360,1.7694444444444444,44.666666666666664,0.710162314643041,1.0,0.28260484011933623,0.3123638606056055,0.9511727657384539
10,low_to_high,3,pre,600,2.066666666666667,52.44,0.9557619183614686,0.0,0.3374136832522322,0.5310800142854895,0.7970789980648012
10,low_to_high,6,early,360,2.1166666666666667,54.6,0.9395904109172832,0.4583333333333333,0.39135899394542456,0.5829291642231154,0.8193694503848673
10,low_to_high,6,late,450,1.86,51.78666666666667,0.747760456009215,1.0,0.42314284043020073,0.8962360179344987,0.6871195444956267
10,low_to_high,6,mid,360,1.9111111111111112,49.46666666666667,0.868462012806558,1.0,0.44398019115104004,0.7153427782836873,0.7878158214684005
10,low_to_high,6,pre,600,2.1033333333333335,54.92,0.9621630021822474,0.0,0.37455768398857137,0.6992953195068988,0.7318617415174844
10,low_to_high,12,early,360,2.1972222222222224,57.13333333333333,0.96237734760379,0.3,0.642618300754487,1.5871563070757357,0.636306991431561
10,low_to_high,12,late,390,2.023076923076923,55.93846153846154,0.9288891928514116,1.0,0.6777263074973747,2.6042608391775066,0.5101347775904824
10,low_to_high,12,mid,360,2.0861111111111112,56.0,0.9394731304013089,0.9916666666666667,0.6571347469810827,2.0227880845830444,0.5699700328867017
10,low_to_high,12,pre,600,2.111666666666667,56.0,0.9654451310097121,0.0,0.5076370517239986,1.3120469344408552,0.6220165944151375
10,stable_high,1,early,360,1.7333333333333334,45.666666666666664,0.5127425576234267,0.5416666666666666,0.14695849955315413,0.1114532778059841,1.1482882790195614
10,stable_high,1,late,480,1.74375,44.3,0.5300818586674889,1.0,0.14815697186495147,0.13780544558515473,1.0368784697286653
